PlotTag,Species4,SppCommon,DBHClass,DBHmid,StemCount,TotalSaplings,TotalSeedlings,SapAreaha,Species2,Year,TreeStatus,PlotGrid,UTM.Easting,UTM.Northing,"Transect No.",PlotRadiusm,PlotAreaha,Elevationm,Aspectdeg,Slopeper,FirstMeasured,SecondMeasured,ThirdMeasured,Time9505yr,Time0515yr,ElevB,foresttype
p034,ACPE,"striped maple",0to2cm,1,1,4,0,0.0024,STM,1995,1,Core,279500,4867800,795,12.62,0.05,600,25,28.1767498196148,1995,2005,2015,10,10,L,NH.high
p035,FAGR,beech,0to2cm,1,3,3,2,0.0024,AB,1995,1,Core,279500,4867600,795,12.62,0.05,620,6,21.7425903953312,1995,2005,2015,10,10,L,NH.high
p035,ACSP,"mountain maple",0to2cm,1,2,2,4,0.0024,MM,1995,1,Core,279500,4867600,795,12.62,0.05,620,6,21.7425903953312,1995,2005,2015,10,10,L,NH.high
p035,PIRU,"red spruce",0to2cm,1,0,0,1,0.0024,RS,1995,1,Core,279500,4867600,795,12.62,0.05,620,6,21.7425903953312,1995,2005,2015,10,10,L,NH.high
p035,ACSA,"sugar maple",0to2cm,1,3,3,7,0.0024,SM,1995,1,Core,279500,4867600,795,12.62,0.05,620,6,21.7425903953312,1995,2005,2015,10,10,L,NH.high
p035,ACPE,"striped maple",0to2cm,1,1,1,1,0.0024,STM,1995,1,Core,279500,4867600,795,12.62,0.05,620,6,21.7425903953312,1995,2005,2015,10,10,L,NH.high
p037,ABBA,"balsam fir",0to2cm,1,1,3,6,0.0024,BF,1995,1,Core,279500,4867300,795,12.62,0.05,675,56,18.935368937257,1995,2005,2015,10,10,M,NH.high
p037,ACSP,"mountain maple",0to2cm,1,6,8,0,0.0024,MM,1995,1,Core,279500,4867300,795,12.62,0.05,675,56,18.935368937257,1995,2005,2015,10,10,M,NH.high
p037,PIRU,"red spruce",0to2cm,1,1,2,0,0.0024,RS,1995,1,Core,279500,4867300,795,12.62,0.05,675,56,18.935368937257,1995,2005,2015,10,10,M,NH.high
p037,ACPE,"striped maple",0to2cm,1,1,1,0,0.0024,STM,1995,1,Core,279500,4867300,795,12.62,0.05,675,56,18.935368937257,1995,2005,2015,10,10,M,NH.high
p038,ABBA,"balsam fir",0to2cm,1,2,3,1,0.0024,BF,1995,1,Core,279500,4867200,795,12.62,0.05,680,332,16.4552884642496,1995,2005,2015,10,10,M,NH.high
p038,ACSP,"mountain maple",0to2cm,1,1,1,0,0.0024,MM,1995,1,Core,279500,4867200,795,12.62,0.05,680,332,16.4552884642496,1995,2005,2015,10,10,M,NH.high
